timestamp_utc,timestamp_unix_s,left_ft_force,right_ft_force,max_ft_force
2026-04-12T05:45:13.616134+00:00,1775972713.616134,-9.809776,0.000002,0.000002
2026-04-12T05:45:13.684149+00:00,1775972713.684149,-9.809541,0.000002,0.000002
2026-04-12T05:45:13.750773+00:00,1775972713.750773,-9.809731,0.000002,0.000002
2026-04-12T05:45:13.829669+00:00,1775972713.829669,-9.809568,0.000002,0.000002
2026-04-12T05:45:13.901330+00:00,1775972713.901330,-9.809365,0.000002,0.000002
2026-04-12T05:45:13.970527+00:00,1775972713.970527,-9.809226,0.000002,0.000002
2026-04-12T05:45:14.037403+00:00,1775972714.037403,-9.893898,-0.000013,-0.000013
2026-04-12T05:45:14.104951+00:00,1775972714.104951,-9.809253,0.000002,0.000002
2026-04-12T05:45:14.172496+00:00,1775972714.172496,-9.788369,0.000005,0.000005
2026-04-12T05:45:14.245136+00:00,1775972714.245136,-9.787890,0.000005,0.000005
2026-04-12T05:45:14.325051+00:00,1775972714.325051,-9.707713,0.000018,0.000018
2026-04-12T05:45:14.394634+00:00,1775972714.394634,-9.796588,0.000002,0.000002
2026-04-12T05:45:14.459714+00:00,1775972714.459714,-9.821342,-0.000002,-0.000002
2026-04-12T05:45:14.529805+00:00,1775972714.529805,-9.824320,-0.000002,-0.000002
2026-04-12T05:45:14.604711+00:00,1775972714.604711,-9.822585,-0.000002,-0.000002
2026-04-12T05:45:14.685836+00:00,1775972714.685836,-9.819800,-0.000001,-0.000001
2026-04-12T05:45:14.757053+00:00,1775972714.757053,-9.817805,-0.000000,-0.000000
2026-04-12T05:45:14.824843+00:00,1775972714.824843,-9.815764,0.000000,0.000000
2026-04-12T05:45:14.891634+00:00,1775972714.891634,-9.814545,0.000001,0.000001
2026-04-12T05:45:14.959035+00:00,1775972714.959035,-9.813215,0.000001,0.000001
2026-04-12T05:45:15.032021+00:00,1775972715.032021,-9.812522,0.000001,0.000001
2026-04-12T05:45:15.126429+00:00,1775972715.126429,-9.811793,0.000001,0.000001
2026-04-12T05:45:15.198877+00:00,1775972715.198877,-9.811114,0.000002,0.000002
2026-04-12T05:45:15.272609+00:00,1775972715.272609,-9.810840,0.000002,0.000002
2026-04-12T05:45:15.345843+00:00,1775972715.345843,-9.810449,0.000002,0.000002
2026-04-12T05:45:15.417824+00:00,1775972715.417824,-9.810202,0.000002,0.000002
2026-04-12T05:45:15.488202+00:00,1775972715.488202,-9.810206,0.000002,0.000002
2026-04-12T05:45:15.560342+00:00,1775972715.560342,-9.809816,0.000002,0.000002
2026-04-12T05:45:15.631047+00:00,1775972715.631047,-9.809834,0.000002,0.000002
2026-04-12T05:45:15.724278+00:00,1775972715.724278,-9.809777,0.000002,0.000002
2026-04-12T05:45:15.793819+00:00,1775972715.793819,-9.809690,0.000002,0.000002
2026-04-12T05:45:15.862726+00:00,1775972715.862726,-9.809732,0.000002,0.000002
2026-04-12T05:45:15.934568+00:00,1775972715.934568,-9.809643,0.000002,0.000002
2026-04-12T05:45:16.009926+00:00,1775972716.009926,-9.809775,0.000002,0.000002
2026-04-12T05:45:16.078458+00:00,1775972716.078458,-9.809937,0.000002,0.000002
2026-04-12T05:45:16.157067+00:00,1775972716.157067,-9.809766,0.000002,0.000002
2026-04-12T05:45:16.229036+00:00,1775972716.229036,-9.809755,0.000002,0.000002
2026-04-12T05:45:16.298761+00:00,1775972716.298761,-9.809851,0.000002,0.000002
2026-04-12T05:45:16.370602+00:00,1775972716.370602,-9.809830,0.000002,0.000002
2026-04-12T05:45:16.438122+00:00,1775972716.438122,-9.893982,-0.000013,-0.000013
2026-04-12T05:45:16.518106+00:00,1775972716.518106,-9.809653,0.000002,0.000002
2026-04-12T05:45:16.601571+00:00,1775972716.601571,-9.788479,0.000005,0.000005
2026-04-12T05:45:16.677847+00:00,1775972716.677847,-9.703726,0.000019,0.000019
2026-04-12T05:45:16.745269+00:00,1775972716.745269,-9.876912,-0.000011,-0.000011
2026-04-12T05:45:16.816068+00:00,1775972716.816068,-9.733205,0.000014,0.000014
2026-04-12T05:45:16.884902+00:00,1775972716.884902,-9.800740,0.000002,0.000002
2026-04-12T05:45:16.953729+00:00,1775972716.953729,-9.820002,-0.000002,-0.000002
2026-04-12T05:45:17.022939+00:00,1775972717.022939,-9.822577,-0.000002,-0.000002
2026-04-12T05:45:17.128068+00:00,1775972717.128068,-9.820704,-0.000001,-0.000001
2026-04-12T05:45:17.197993+00:00,1775972717.197993,-9.818706,-0.000001,-0.000001
2026-04-12T05:45:17.265165+00:00,1775972717.265165,-9.816599,0.000000,0.000000
2026-04-12T05:45:17.327599+00:00,1775972717.327599,-9.899183,-0.000014,-0.000014
2026-04-12T05:45:17.392531+00:00,1775972717.392531,-9.813604,0.000001,0.000001
2026-04-12T05:45:17.458696+00:00,1775972717.458696,-9.791506,0.000004,0.000004
2026-04-12T05:45:17.533941+00:00,1775972717.533941,-9.790401,0.000004,0.000004
2026-04-12T05:45:17.631653+00:00,1775972717.631653,-9.793964,0.000003,0.000003
2026-04-12T05:45:17.710932+00:00,1775972717.710932,-9.793984,-0.387085,-0.387085
2026-04-12T05:45:17.780832+00:00,1775972717.780832,-9.720098,0.000019,0.000019
2026-04-12T05:45:17.860949+00:00,1775972717.860949,-9.803505,-0.000003,-0.000003
2026-04-12T05:45:17.929151+00:00,1775972717.929151,-9.826625,-0.000003,-0.000003
2026-04-12T05:45:17.997991+00:00,1775972717.997991,-9.828499,-0.000003,-0.000003
2026-04-12T05:45:18.089013+00:00,1775972718.089013,-9.825463,-0.000002,-0.000002
